pokedex_number,name,type1,type2,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fighting,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,percentage_male,classfication,height_m,weight_kg,capture_rate,base_egg_steps,abilities,experience_growth,base_happiness,hp,attack,defense,sp_attack,sp_defense,speed,base_total,generation,is_legendary
56,Mankey,fighting,,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,50,Pig Monkey Pok̩mon,0.5,28,190,5120,"['Vital Spirit', 'Anger Point', 'Defiant']",1000000,70,40,80,35,35,45,70,305,1,0
57,Primeape,fighting,,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,50,Pig Monkey Pok̩mon,1,32,75,5120,"['Vital Spirit', 'Anger Point', 'Defiant']",1000000,70,65,105,60,60,70,95,455,1,0
58,Growlithe,fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,75.4,Puppy Pok̩mon,0.7,19,190,5120,"['Intimidate', 'Flash Fire', 'Justified']",1250000,70,55,70,45,70,50,60,350,1,0
59,Arcanine,fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,75.4,Legendary Pok̩mon,1.9,155,75,5120,"['Intimidate', 'Flash Fire', 'Justified']",1250000,70,90,110,80,100,80,95,555,1,0
60,Poliwag,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,Tadpole Pok̩mon,0.6,12.4,255,5120,"['Water Absorb', 'Damp', 'Swift Swim']",1059860,70,40,50,40,40,40,90,300,1,0
61,Poliwhirl,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,Tadpole Pok̩mon,1,20,120,5120,"['Water Absorb', 'Damp', 'Swift Swim']",1059860,70,65,65,65,50,50,90,385,1,0
62,Poliwrath,water,fighting,0.5,0.5,1,2,2,1,0.5,2,1,2,1,0.5,1,1,2,0.5,0.5,0.5,50,Tadpole Pok̩mon,1.3,54,45,5120,"['Water Absorb', 'Damp', 'Swift Swim']",1059860,70,90,95,95,70,90,70,510,1,0
63,Abra,psychic,,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,75.4,Psi Pok̩mon,0.9,19.5,200,5120,"['Synchronize', 'Inner Focus', 'Magic Guard']",1059860,70,25,20,15,105,55,90,310,1,0
64,Kadabra,psychic,,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,75.4,Psi Pok̩mon,1.3,56.5,100,5120,"['Synchronize', 'Inner Focus', 'Magic Guard']",1059860,70,40,35,30,120,70,105,400,1,0
65,Alakazam,psychic,,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,75.4,Psi Pok̩mon,1.5,48,50,5120,"['Synchronize', 'Inner Focus', 'Magic Guard']",1059860,70,55,50,65,175,105,150,600,1,0
66,Machop,fighting,,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,75.4,Superpower Pok̩mon,0.8,19.5,180,5120,"['Guts', 'No Guard', 'Steadfast']",1059860,70,70,80,50,35,35,35,305,1,0
67,Machoke,fighting,,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,75.4,Superpower Pok̩mon,1.5,70.5,90,5120,"['Guts', 'No Guard', 'Steadfast']",1059860,70,80,100,70,50,60,45,405,1,0
68,Machamp,fighting,,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,75.4,Superpower Pok̩mon,1.6,130,45,5120,"['Guts', 'No Guard', 'Steadfast']",1059860,70,90,130,80,65,85,55,505,1,0
69,Bellsprout,grass,poison,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,50,Flower Pok̩mon,0.7,4,255,5120,"['Chlorophyll', 'Gluttony']",1059860,70,50,75,35,70,30,40,300,1,0
70,Weepinbell,grass,poison,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,50,Flycatcher Pok̩mon,1,6.4,120,5120,"['Chlorophyll', 'Gluttony']",1059860,70,65,90,50,85,45,55,390,1,0
71,Victreebel,grass,poison,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,50,Flycatcher Pok̩mon,1.7,15.5,45,5120,"['Chlorophyll', 'Gluttony']",1059860,70,80,105,65,100,70,70,490,1,0
72,Tentacool,water,poison,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,50,Jellyfish Pok̩mon,0.9,45.5,190,5120,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",1250000,70,40,40,35,50,100,70,335,1,0
73,Tentacruel,water,poison,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,50,Jellyfish Pok̩mon,1.6,55,60,5120,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",1250000,70,80,70,65,80,120,100,515,1,0
74,Geodude,rock,ground,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,50,Rock Pok̩mon,0.4,20,255,3840,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1059860,70,40,80,100,30,30,20,300,1,0
75,Graveler,rock,ground,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,50,Rock Pok̩mon,1,105,120,3840,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1059860,70,55,95,115,45,45,35,390,1,0
76,Golem,rock,ground,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,50,Megaton Pok̩mon,1.4,300,45,3840,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",1059860,70,80,120,130,55,65,45,495,1,0
77,Ponyta,fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,50,Fire Horse Pok̩mon,1,30,190,5120,"['Run Away', 'Flash Fire', 'Flame Body']",1000000,70,50,85,55,65,65,90,410,1,0
78,Rapidash,fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,50,Fire Horse Pok̩mon,1.7,95,60,5120,"['Run Away', 'Flash Fire', 'Flame Body']",1000000,70,65,100,70,80,80,105,500,1,0
79,Slowpoke,water,psychic,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,50,Dopey Pok̩mon,1.2,36,190,5120,"['Oblivious', 'Own Tempo', 'Regenerator']",1000000,70,90,65,65,40,40,15,315,1,0
80,Slowbro,water,psychic,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,50,Hermit Crab Pok̩mon,1.6,78.5,75,5120,"['Oblivious', 'Own Tempo', 'Regenerator']",1000000,70,95,75,180,130,80,30,590,1,0
81,Magnemite,electric,steel,0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,,Magnet Pok̩mon,0.3,6,190,5120,"['Magnet Pull', 'Sturdy', 'Analytic']",1000000,70,25,35,70,95,55,45,325,1,0
82,Magneton,electric,steel,0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1,,Magnet Pok̩mon,1,60,60,5120,"['Magnet Pull', 'Sturdy', 'Analytic']",1000000,70,50,60,95,120,70,70,465,1,0
83,Farfetch'd,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,50,Wild Duck Pok̩mon,0.8,15,45,5120,"['Keen Eye', 'Inner Focus', 'Defiant']",1000000,70,52,90,55,58,62,60,377,1,0
84,Doduo,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,50,Twin Bird Pok̩mon,1.4,39.2,190,5120,"['Run Away', 'Early Bird', 'Tangled Feet']",1000000,70,35,85,45,35,35,75,310,1,0
85,Dodrio,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,50,Triple Bird Pok̩mon,1.8,85.2,45,5120,"['Run Away', 'Early Bird', 'Tangled Feet']",1000000,70,60,110,70,60,60,110,470,1,0
86,Seel,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,Sea Lion Pok̩mon,1.1,90,190,5120,"['Thick Fat', 'Hydration', 'Ice Body']",1000000,70,65,45,55,45,70,45,325,1,0
87,Dewgong,water,ice,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,50,Sea Lion Pok̩mon,1.7,120,75,5120,"['Thick Fat', 'Hydration', 'Ice Body']",1000000,70,90,70,80,70,95,70,475,1,0
88,Grimer,poison,poison,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,50,Sludge Pok̩mon,0.9,30,190,5120,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",1000000,70,80,80,50,40,50,25,325,1,0
89,Muk,poison,poison,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,50,Sludge Pok̩mon,1.2,30,75,5120,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",1000000,70,105,105,75,65,100,50,500,1,0
90,Shellder,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,Bivalve Pok̩mon,0.3,4,190,5120,"['Shell Armor', 'Skill Link', 'Overcoat']",1250000,70,30,65,100,45,25,40,305,1,0
91,Cloyster,water,ice,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,50,Bivalve Pok̩mon,1.5,132.5,60,5120,"['Shell Armor', 'Skill Link', 'Overcoat']",1250000,70,50,95,180,85,45,70,525,1,0
92,Gastly,ghost,poison,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,50,Gas Pok̩mon,1.3,0.1,190,5120,['Levitate'],1059860,70,30,35,30,100,35,80,310,1,0
93,Haunter,ghost,poison,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,50,Gas Pok̩mon,1.6,0.1,90,5120,['Levitate'],1059860,70,45,50,45,115,55,95,405,1,0
94,Gengar,ghost,poison,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1,50,Shadow Pok̩mon,1.5,40.5,45,5120,['Cursed Body'],1059860,70,60,65,80,170,95,130,600,1,0
95,Onix,rock,ground,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,50,Rock Snake Pok̩mon,8.8,210,45,6400,"['Rock Head', 'Sturdy', 'Weak Armor']",1000000,70,35,45,160,30,45,70,385,1,0
96,Drowzee,psychic,,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,50,Hypnosis Pok̩mon,1,32.4,190,5120,"['Insomnia', 'Forewarn', 'Inner Focus']",1000000,70,60,48,45,43,90,42,328,1,0
97,Hypno,psychic,,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,50,Hypnosis Pok̩mon,1.6,75.6,75,5120,"['Insomnia', 'Forewarn', 'Inner Focus']",1000000,70,85,73,70,73,115,67,483,1,0
98,Krabby,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,River Crab Pok̩mon,0.4,6.5,225,5120,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",1000000,70,30,105,90,25,25,50,325,1,0
99,Kingler,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,Pincer Pok̩mon,1.3,60,60,5120,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",1000000,70,55,130,115,50,50,75,475,1,0
100,Voltorb,electric,,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,,Ball Pok̩mon,0.5,10.4,190,5120,"['Soundproof', 'Static', 'Aftermath']",1000000,70,40,30,50,55,55,100,330,1,0
101,Electrode,electric,,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,,Ball Pok̩mon,1.2,66.6,60,5120,"['Soundproof', 'Static', 'Aftermath']",1000000,70,60,50,70,80,80,150,490,1,0
